Type,Code,Name (Khmer),Name (Latin),Reference,Official Note,Note (by Checker)
?????,701,????????,Angkor Chey,????????????? ???.?  ?????????????????,,
???,70101,???????????,Angk Phnum Touch,????????? ???? ???.?  ?????????????????,,
????,7010101,??????????????,Trapeang Kamphleanh,????????? ??? ???.?  ?????????????????,,
????,7010102,???????????,Trapeang Khyang,????????? ??? ???.?  ?????????????????,,
????,7010103,??????????,Trapeang Veaeng,????????? ??? ???.?  ?????????????????,,
????,7010104,?????,Peaeng Thum,????????? ??? ???.?  ?????????????????,,
????,7010105,??????,Prey Thum,????????? ??? ???.?  ?????????????????,,
???,70102,????????,Ankor Chey,????????? ??? ???.?  ?????????????????,,
????,7010201,???????,Sameakki,????????? ??? ???.?  ?????????????????,,
????,7010202,???????????,Trapeang Srae,????????? ??? ???.?  ?????????????????,,
????,7010203,??????????,Angkor Chey Leu,????????? ??? ???.?  ?????????????????,,
????,7010204,?????????????,Angkor Chey Kraom,????????? ??? ???.?  ?????????????????,,
????,7010205,?????????,Prey Chheu Teal,????????? ??? ???.?  ?????????????????,,
????,7010206,?????????,Angk Rumduol,????????? ??? ???.?  ?????????????????,,
???,70103,?????,Champei,????????? ???? ???.?  ?????????????????,,
????,7010301,?????,Khvav,????????? ???? ???.?  ?????????????????,,
????,7010302,???????,Krasang,????????? ???? ???.?  ?????????????????,,
????,7010303,????????,Tonle Neam,????????? ???? ???.?  ?????????????????,,
????,7010304,????????,Nang Sa Het,????????? ???? ???.?  ?????????????????,,
????,7010305,?????,Champei,????????? ???? ???.?  ?????????????????,,
????,7010306,??????,Srae Chea,????????? ???? ???.?  ?????????????????,,
????,7010307,????????,Ang Chorti,????????? ???? ???.?  ?????????????????,,
????,7010308,????????,Daeum Pou,????????? ???? ???.?  ?????????????????,,
???,70104,??????????,Dambouk Khpos,????????? ??? ???.?  ?????????????????,,
????,7010401,?????????????,Trapeang Trakiet,????????? ??? ???.?  ?????????????????,,
????,7010402,???????????,Sbov Andaet,????????? ??? ???.?  ?????????????????,,
????,7010403,?????????,Chak Chrum,????????? ??? ???.?  ?????????????????,,
????,7010404,????,Ta Kao,????????? ??? ???.?  ?????????????????,,
????,7010405,?????,Dang Tong,????????? ??? ???.?  ?????????????????,,
????,7010406,????????????,Trapeang Tnaot,????????? ??? ???.?  ?????????????????,,
????,7010407,?????????,Robaoh Khtum,????????? ??? ???.?  ?????????????????,,
????,7010408,??????????,Dambouk Khpos,????????? ??? ???.?  ?????????????????,,
????,7010409,????????????,Trapeang Kamnab,????????? ??? ???.?  ?????????????????,,
????,7010410,??????????,Trapeang Run,????????? ??? ???.?  ?????????????????,,
????,7010411,?????????,Ou Mkak,????????? ??? ???.?  ?????????????????,,
???,70105,??????,Dan Koum,????????? ??? ???.?  ?????????????????,,
????,7010501,?????,Ponley,????????? ??? ???.?  ?????????????????,,
????,7010502,????????????,Dan Koum Khang Cheung,????????? ??? ???.?  ?????????????????,,
????,7010503,????????????????,Dan Koum Khang Tboung,????????? ??? ???.?  ?????????????????,,
????,7010504,???????????????,Angk Khcheay Khang Cheung,????????? ??? ???.?  ?????????????????,,
????,7010505,?????????????????,Angk Khcheay Khang Tboung,????????? ??? ???.?  ?????????????????,,
????,7010506,?????????,Prey Khcheay,????????? ??? ???.?  ?????????????????,,
???,70106,??????,Daeum Doung,????????? ??? ???.?  ?????????????????,,
????,7010601,??????,Daeum Doung,????????? ??? ???.?  ?????????????????,,
????,7010602,?????,Chrab,????????? ??? ???.?  ?????????????????,,
????,7010603,????????,Ou Rumchek,????????? ??? ???.?  ?????????????????,,
????,7010604,??????,Sa Dambang,????????? ??? ???.?  ?????????????????,,
???,70107,?????,Mroum,????????? ??? ???.?  ?????????????????,,
????,7010701,??????????,Preah Aongkar,????????? ??? ???.?  ?????????????????,,
????,7010702,?????,Mroum,????????? ??? ???.?  ?????????????????,,
????,7010703,????????????,Trapeang Phnael,????????? ??? ???.?  ?????????????????,,
????,7010704,?????,Chheu Teal,????????? ??? ???.?  ?????????????????,,
????,7010705,??,Kok,????????? ??? ???.?  ?????????????????,,
????,7010706,?????????,Phnum Chhmar,????????? ??? ???.?  ?????????????????,,
???,70108,???????,Phnum Kong,????????? ??? ???.?  ?????????????????,,
????,7010801,???????,Srae Roung,????????? ??? ???.?  ?????????????????,,
????,7010802,???????,Skor Tung,????????? ??? ???.?  ?????????????????,,
????,7010803,?????????,Trapeang Chak,????????? ??? ???.?  ?????????????????,,
????,7010804,?????????,Prey Phkoam,????????? ??? ???.?  ?????????????????,,
????,7010805,?????,Pou,????????? ??? ???.?  ?????????????????,,
????,7010806,????????,Pech Changva,????????? ??? ???.?  ?????????????????,,
????,7010807,????????,Prey Phdau,????????? ??? ???.?  ?????????????????,,
????,7010808,?????????,Phnum Trael,????????? ??? ???.?  ?????????????????,,
????,7010809,???????????,Trapeang Khva,????????? ??? ???.?  ?????????????????,,
????,7010810,??????????,Sangkae Bangvaer,????????? ??? ???.?  ?????????????????,,
???,70109,???????,Praphnum,????????? ??? ???.?  ?????????????????,,
????,7010901,???????,Pra Phnum,????????? ??? ???.?  ?????????????????,,
????,7010902,?????????????,Trapeang Thngan,????????? ??? ???.?  ?????????????????,,
????,7010903,?????????,Prey Chheu Teal,????????? ??? ???.?  ?????????????????,,
????,7010904,????????,Prey Skor,????????? ??? ???.?  ?????????????????,,
????,7010905,?????,Pong Tuek,????????? ??? ???.?  ?????????????????,,
????,7010906,???????????,Krang Thkov,????????? ??? ???.?  ?????????????????,,
????,7010907,?????????????,Damnak Krasang,????????? ??? ???.?  ?????????????????,,
????,7010908,????????,Ruessei Dom,????????? ??? ???.?  ?????????????????,,
????,7010909,????????,Tuol Khpos,????????? ??? ???.?  ?????????????????,,
???,70110,?????,Samlanh,????????? ??? ???.?  ?????????????????,,
????,7011001,?????,Kaksekar,????????? ??? ???.?  ?????????????????,,
????,7011002,?????,Sdok,????????? ??? ???.?  ?????????????????,,
????,7011003,??????,Kammeakkar,????????? ??? ???.?  ?????????????????,,
????,7011004,???????????,Trapeang Sla,????????? ??? ???.?  ?????????????????,,
????,7011005,???????,Prasrae,????????? ??? ???.?  ?????????????????,,
????,7011006,?????,Smaong,????????? ??? ???.?  ?????????????????,,
????,7011007,??????,Trabiet,????????? ??? ???.?  ?????????????????,,
???,70111,????,Tani,????????? ??? ???.?  ?????????????????,,
????,7011101,???????????,Trapeang Reang,????????? ??? ???.?  ?????????????????,,
????,7011102,???????,Ta Pream,????????? ??? ???.?  ?????????????????,,
????,7011103,?????????,Kan Trong,????????? ??? ???.?  ?????????????????,,
????,7011104,?????,Ta Kok,????????? ??? ???.?  ?????????????????,,
????,7011105,?????,Ruessei,????????? ??? ???.?  ?????????????????,,
????,7011106,??????????,Trapeang Run,????????? ??? ???.?  ?????????????????,,
????,7011107,?????,Pral,????????? ??? ???.?  ?????????????????,,
?????,702,?????????,Banteay Meas,????????? ??? ???.?  ?????????????????,,
???,70201,???????????????,Banteay Meas Khang Kaeut,????????? ??? ???.?  ?????????????????,,
????,7020101,???????,Pechonea,????????? ??? ???.?  ?????????????????,,
????,7020102,????????????,Krasang Kraom,????????? ??? ???.?  ?????????????????,,
????,7020103,?????????,Krasang Leu,????????? ??? ???.? ?????????????????,,
????,7020104,??????????,Trapeang Poun,????????? ??? ???.?  ?????????????????,,
????,7020105,??????????,Prey Bantoam,????????? ??? ???.?  ?????????????????,,
????,7020106,?????????,Srae Thlok,????????? ??? ???.?  ?????????????????,,
????,7020107,?????,Pou,????????? ??? ???.?  ?????????????????,,
????,7020108,?????,Thnong,????????? ??? ???.?  ?????????????????,,
???,70202,???????????????,Banteay Meas Khang lech,????????? ??? ???.?  ?????????????????,,
????,7020201,???????,Lum Tumpung,????????? ??? ???.?  ?????????????????,,
????,7020202,???????,Kandanh,????????? ??? ???.?  ?????????????????,,
????,7020203,????????,Kansaom Ak,????????? ??? ???.?  ?????????????????,,
????,7020204,??????,Tong Leang,????????? ??? ???.?  ?????????????????,,
????,7020205,?????????,Tbal Ken,????????? ??? ???.?  ?????????????????,,
????,7020206,??????,Prey Leu,????????? ??? ???.?  ?????????????????,,
????,7020207,???????,Hong Suy,????????? ??? ???.?  ?????????????????,,
????,7020208,?????????,Banteay Meas,????????? ??? ???.?  ?????????????????,,
????,7020209,????????????,Krang Banteay,????????? ??? ???.?  ?????????????????,,
???,70203,?????????,Prey Tonle,????????? ???? ???.?  ?????????????????,,
????,7020301,?????????,Prey Tonle,????????? ???? ???.?  ?????????????????,,
????,7020302,??????????,Tuol Krasang,????????? ???? ???.?  ?????????????????,,
????,7020303,??????????,Preaek Ruessei,????????? ???? ???.?  ?????????????????,,
????,7020304,????????,Samraong Chen,????????? ???? ???.?  ?????????????????,,
????,7020305,???????,Meun Dam,????????? ???? ???.?  ?????????????????,,
???,70204,??????????,Samraong Kraom,????????? ???? ???.?  ?????????????????,,
????,7020401,??????????????,Trapeang Montrei,????????? ???? ???.?  ?????????????????,,
????,7020402,?????,Ta Iek,????????? ???? ???.?  ?????????????????,,
????,7020403,?????????,Saen Ponlung,????????? ???? ???.?  ?????????????????,,
????,7020404,?????,Samraong,????????? ???? ???.?  ?????????????????,,
????,7020405,?????,Ta Ten,????????? ???? ???.?  ?????????????????,,
????,7020406,?????????,Krang Doung,????????? ???? ???.?  ?????????????????,,
???,70205,???????,Samraong Leu,????????? ??? ???.?  ?????????????????,,
