Type,Code,Name (Khmer),Name (Latin),Reference,Official Note,Note (by Checker)
ភូមិ,1020204,អន្លង់ថ្ងាន់លិច,Anlong Thngan Lech,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020205,បង់បត់លិច,Bang Bat Lech,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020206,បង់បត់កើត,Bang Bat Kaeut,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020207,បត់ត្រង់,Bat Trang,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020208,បត់ត្រង់ធំលិច,Bat Trang Thum Lech,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020209,បត់ត្រង់ធំកើត,Bat Trang Thum Kaeut,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020210,បត់ត្រង់តូច,Bat Trang Touch,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020211,ព្រែកជីក,Preaek Chik,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ឃុំ,10203,ចំណោម,Chamnaom,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020301,ប្រឡាយចារ៍,Pralay Char,ប្រកាសលេខ ៤៩៣ ប្រ.ក,កែឈ្មោះពី​ប្រឡាយចារ ទៅ ប្រឡាយចារ៍,
ភូមិ,1020302,រង្វានលិច,Rongvean Lech,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020303,រង្វានកើត,Rongvean Kaeut,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020304,ចំណោមលិច,Chamnaom Lech,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020305,ចំណោមកើត,Chamnaom Kaeut,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020306,រោងគោដើម,Roung Kou Daeum,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020307,រោងគោកណ្ដាល,Roung Kou Kandal,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020308,រោងគោចុង,Roung Kou Chong,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020309,ពាមរោងគោ,Peam Roung Kou,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020310,តាសល់,Ta Sal,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020311,ជួរខ្ចាស់,Chuor Khchas,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020312,បឹងត្រស់,Boeng Tras,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020313,ដងត្រាង,Dang Trang,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020314,ស្រែព្រៃ,Srae Prey,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020315,បុស្បទន្លាប់,Bos Tonloab,ប្រកាសលេខ ៤៩៣ ប្រ.ក,កែឈ្មោះពីបុស្សទន្លាប់ ទៅ​ បុស្បទន្លាប់,
ភូមិ,1020316,តាប៊ុន,Ta  Bun,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020317,គោកពន្លៃ,Kouk Ponley,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020318,សាយសាម៉ន,Say Samon,ប្រកាសលេខ ៣៥០៧ ប្រ.ក,បង្កើតចេញពីភូមិឧបសម្ព័ន្ធ,
ឃុំ,10204,គោកបល្ល័ង្គ,Kouk Ballangk,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020401,គោកបល្ល័ង្ក,Kouk Ballangk,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020402,តាអន,Ta An,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020403,ប្រឡាយជ្រៃ,Pralay Chrey,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020404,ជើងចាប,Cheung Chab,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020405,ផាត់សណ្ដោង,Phat Sandaong,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020406,ចារថ្មី,Char Thmei,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020407,ផ្អាវថ្មី,Ph'av Thmei,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020408,តាសល់,Ta Sal,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ឃុំ,10205,គយម៉ែង,Koy Maeng,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020501,គយម៉ែង,Koy Maeng,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020502,ស្ដីលើ,Sdei Leu,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020503,ផ្លូវសៀម,Phlov Siem,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020504,តានង,Ta Nong,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020505,អង្ករខ្មៅ,Angkar Khmau,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020506,កសាងថ្មី,Kasang Thmei,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020507,ស្ទឹងចាស់,Stueng Chas,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020508,ស្ដីក្រោម,Sdei Kraom,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ឃុំ,10206,អូរប្រាសាទ,Ou Prasat,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020601,ភ្នំធំត្បូង,Phnum Thum Tboung,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020602,ភ្នំប្រាសាទ,Phnum Prasat,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020603,ភ្នំធំជើង,Phnum Thum Cheung,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020604,ចំការលោក,Chamkar Louk,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020605,ភ្នំធំថ្មី,Phnum Thum Thmei,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020606,អន្លង់ស្ដី,Anlong Sdei,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020607,គោកធ្លង់កើត,Kouk Thlong Kaeut,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020608,គោកធ្លង់កណ្ដាល,Kouk Thlong Kandal,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020609,អូរស្ងួត,Ou Snguot,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020610,អូរប្រាសាទ,Ou Prasat,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020611,គោកអំពិល,Kouk Ampil,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020612,រ៉ាចំការចេក,Ra Chamkar Chek,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020613,ពោធិ៍រៀង,Pou Rieng,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020614,រូងក្របៅ,Rung Krabau,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ឃុំ,10207,ភ្នំតូច,Phnum Touch,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020701,ភ្នំតូចត្បូង,Phnum Touch Tboung,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020702,ភ្នំតូចជើង,Phnum Touch Cheung,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020703,ថ្នល់បត់,Thnal Bat,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020704,អូរញរ,Ou Nhor,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020705,បឹងត្រស់,Boeng Tras,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020706,មនោរម្យ,Monourom,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020707,ប៉ោយតាសេក,Paoy Ta Sek,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020708,ព្រៃទទឹង,Prey Totueng,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
ភូមិ,1020709,បឹងរាំង,Boeng Reang,ប្រកាសលេខ ៤៩៣ ប្រ.ក,,
