Type,Code,Name (Khmer),Name (Latin),Reference,Official Note,Note (by Checker)
????,6011704,?????????? ?,Tnaot Chum Ti Buon,????????? ??? ???.?,,
????,6011705,????,Pnov,????????? ??? ???.?,,
????,6011706,??????????,Preaek Kraol,????????? ??? ???.?,,
????,6011707,??????????,Banteay Chas,????????? ??? ???.?,,
????,6011708,????,Thmei,????????? ??? ???.?,,
????,6011709,?????,Kang Meas,????????? ??? ???.?,,
?????,602,??????????,Kampong Svay,????????? ??? ???.?,,
???,60201,???,Chey,??? ??? ???.?,,
????,6020101,????,Mohar,????????? ??? ???.?,????????? ???? ?? ????,
????,6020102,?????,Ta Theav,????????? ??? ???.?,,
????,6020103,????,Lvea,????????? ??? ???.?,,
????,6020104,??????????????,Trapeang Areaks,????????? ??? ???.?,???????????????????????? ??????????????,
????,6020105,???????,Prey Tob,????????? ??? ???.?,,
????,6020106,????????,Koun Tnaot,????????? ??? ???.?,,
???,60202,??????????,Damrei Slab,??? ??? ???.?,,
????,6020201,?????,Sangkum,????????? ??? ???.?,,
????,6020202,????????,Kab Thlok,????????? ??? ???.?,,
????,6020203,?????????,Mongkol Sla,????????? ??? ???.?,,
????,6020204,????????,Voa Yeav,????????? ??? ???.?,,
????,6020205,??????????,Damrei Slab,????????? ??? ???.?,,
???,60203,???????,Kampong Kou,??? ??? ???.?,,
????,6020301,?????????,Kampong Kou Leu,????????? ??? ???.?,,
????,6020302,????????????,Kampong Kou Kraom,????????? ??? ???.?,,
????,6020303,???????????,Khsach Chi Ros,????????? ??? ???.?,,
????,6020304,?????,Bou Pueng,????????? ??? ???.?,,
????,6020305,??????????,Kaoh Krob Bay,????????? ??? ???.?,,
???,60204,??????????,Kampong Svay,??? ??? ???.?,,
????,6020401,??????????,Kampong Svay,????????? ??? ???.?,,
????,6020402,???????,Tiem Chas,????????? ??? ???.?,,
????,6020403,?????,Tnaot,????????? ??? ???.?,,
????,6020404,?????????,Enteak Komar,????????? ??? ???.?,,
????,6020405,???????,Chong Prey,????????? ??? ???.?,,
????,6020406,????????,Prey Preah,????????? ??? ???.?,,
????,6020407,??????,Ta Paong,????????? ??? ???.?,,
????,6020408,?????,Ta Am,????????? ??? ???.?,,
????,6020409,???????????,Chrang Kraham,????????? ??? ???.?,,
????,6020410,???????,Ou Sala,????????? ??? ???.?,,
????,6020411,?????????????,Anlong Krasang,????????? ??? ???.?,,
????,6020412,????,Souchey,????????? ??? ???.?,,
???,60205,?????,Nipech,??? ??? ???.?,,
????,6020501,????? ?,Nipech ka,????????? ??? ???.?,,
????,6020502,????? ?,Nipech Kha,????????? ??? ???.?,,
????,6020503,??????,Doun Chhuk,????????? ??? ???.?,,
???,60206,??????????,Phat Sanday,??? ??? ???.?,,
????,6020601,?????????,Kampong Chamlang,????????? ??? ???.?,,
????,6020602,??????????,Phat Sanday,????????? ??? ???.?,,
????,6020603,??????,Neang Sav,????????? ??? ???.?,,
????,6020604,?????????,Tuol Neang Sav,????????? ??? ???.?,,
????,6020605,???????,Kaoh Ta Pov,????????? ??? ???.?,,
???,60207,?????,San Kor,??? ??? ???.?,,
????,6020701,???????,Prasat,????????? ??? ???.?,,
????,6020702,????????,Balang,????????? ??? ???.?,????????????????? ????????,
????,6020703,?????????,Tang Krouch,????????? ??? ???.?,,
????,6020704,???,Veal,????????? ??? ???.?,,
????,6020705,???,Chey,????????? ??? ???.?,????????????? ???,
????,6020706,??????????,Slaeng Khpos,????????? ??? ???.?,,
????,6020707,????,Sari,????????? ??? ???.?,,
????,6020708,???????,Sampov Meas,????????? ??? ???.?,,
????,6020709,?????,Kbel,????????? ??? ???.?,,
????,6020710,?????,Ampil,????????? ??? ???.?,,
????,6020711,????? ?,San Kor Ka,????????? ??? ???.?,,
????,6020712,????? ?,San Kor Kha,????????? ??? ???.?,,
????,6020713,??????? ?,Krasang Ka,????????? ??? ???.?,,
????,6020714,??????? ?,Krasang Kha,????????? ??? ???.?,,
???,60208,?????,Tbaeng,??? ??? ???.?,,
????,6020801,?????,Trach,????????? ??? ???.?,,
????,6020802,?????,Ta Ream,????????? ??? ???.?,,
????,6020803,???????,Ruessei Cheah,????????? ??? ???.?,,
????,6020804,?????,Pou,????????? ??? ???.?,,
????,6020805,?????????,Prey Pras,????????? ??? ???.?,,
????,6020806,?????????,Boeng Andaeng,????????? ??? ???.?,,
????,6020807,?????,Ta Am,????????? ??? ???.?,,
????,6020808,????? ?,Tbaeng Ka,????????? ??? ???.?,,
????,6020809,????? ?,Tbaeng Kha,????????? ??? ???.?,,
????,6020810,?????,Bakong,????????? ??? ???.?,,
????,6020811,?????????,Tram Khla,????????? ??? ???.?,,
????,6020812,??????,Srangae,????????? ??? ???.?,,
????,6020813,????????,Ou Ambaeng,????????? ??? ???.?,,
????,6020814,????,Phlong,????????? ??? ???.?,,
????,6020815,?????,Chheu Teal,????????? ??? ???.?,,
???,60209,????????????,Trapeang Ruessei,??? ??? ???.?,,
????,6020901,????????? ?,Prey Preal Ka,????????? ??? ???.?,,
????,6020902,????????? ?,Prey Preal Kha,????????? ??? ???.?,,
????,6020903,???????,Prasat,????????? ??? ???.?,,
????,6020904,???,Rung,????????? ??? ???.?,,
????,6020905,?????????,Romeang Ngoab,????????? ??? ???.?,,
????,6020906,????,Snao,????????? ??? ???.?,,
????,6020907,??????????,Trapeang Thma,????????? ??? ???.?,,
????,6020908,????????,Voa Yeav,????????? ??? ???.?,,
????,6020909,????????,Thnal Baek,????????? ??? ???.?,,
????,6020910,?????????????,Trapeang Prolit,????????? ??? ???.?,,
????,6020911,??????,Kouk Nguon,????????? ??? ???.?,,
????,6020912,???????,Krasang,????????? ??? ???.?,,
????,6020913,???????,Lvea Choum,????????? ??? ???.?,,
????,6020914,?????,Samraong,????????? ??? ???.?,,
????,6020915,????????????,Trapeang Ruessei,????????? ??? ???.?,,
????,6020916,????????,Serei Vongs,????????? ??? ???.?,,
????,6020917,????,Lvey,????????? ??? ???.?,,
????,6020918,????????????,Trapeang Chambak,????????? ???? ????,????????,
????,6020919,????????,Ou Rumdeng,????????? ???? ????,????????,
????,6020920,???????? ?,Thnal Baek Ka,????????? ???? ????,??????????????????????,
???,60210,???????,Kdei Doung,??? ??? ???.?,,
????,6021001,???????,Kdei Doung,????????? ??? ???.?,,
????,6021002,????????,Peam Kraeng,????????? ??? ???.?,,
????,6021003,????????,Ou Sambuor,????????? ??? ???.?,,
????,6021004,?????,Slaeng,????????? ??? ???.?,,
???,60211,???????,Prey Kuy,??? ??? ???.?,,
????,6021101,???????,Prey Kuy,????????? ??? ???.?,,
????,6021102,?????????,Anlong Louk,????????? ??? ???.?,,
????,6021103,?????,Sambuor,????????? ??? ???.?,,
????,6021104,??????,Bendei,????????? ??? ???.?,,
????,6021105,?????,Pren,????????? ??? ???.?,,
????,6021106,??????????,Kampong Krabei,????????? ??? ???.?,,
????,6021107,??????????,Svay Khlouk,????????? ??? ???.?,,
????,6021108,??????? ?,Prey Kuy Ka,????????? ???? ????,?????????????????????,
?????,603,????????,Stueng Saen,??????????? ?? ?????.??,??????????????????????????????????? ??? ???.? ??????????? ?????? ?????????? ????????????????? ???????????????????????????????????????? ?? ?????.?? ??????????? ?????? ??????????,
???????,60301,????????????,Damrei Choan Khla,??????????? ?? ?????.??,,
????,6030101,???????????,Ballangk  Kaeut,????????????? ?? ?????.????,????????????????????????? ???????????,
????,6030102,???????????,Ballangk Lech,????????????? ?? ?????.????,?????????????????????? ????????????,
????,6030103,?????????,Pou Bak Ka,????????????? ?? ?????.????,????????????????????? ?????????,
????,6030104,????????????,Damrei Choan Khla,????????????? ?? ?????.????,,
???????,60302,???????,Kampong Thum,??????????? ?? ?????.??,,
????,6030201,?????? ?,Phum Ti Muoy,????????? ??? ???.?,,
????,6030202,?????? ?,Phum Ti Pir,????????? ??? ???.?,,
????,6030203,?????? ?,Phum Ti Bei,????????? ??? ???.?,,
????,6030204,?????? ?,Phum Ti Buon,????????? ??? ???.?,,
????,6030205,?????? ?,Phum Ti Pram,????????? ??? ???.?,,
????,6030206,?????? ?,Phum Ti Prammuoy,????????? ??? ???.?,,
????,6030207,?????? ?,Phum Ti Prampir,????????? ??? ???.?,,
???????,60303,?????????,Kampong Roteh,??????????? ?? ?????.??,,
????,6030301,???????,Kampong Thum,????????? ??? ???.?,,
????,6030302,?????????,Kampong Roteh,????????? ??? ???.?,,
???????,60304,????????,Ou Kanthor,??????????? ?? ?????.??,,
????,6030401,??????????,Preaek Sbov,????????? ??? ???.?,,
????,6030402,?????????????,Ou Kanthor Tboung,????????? ??? ???.?,????????????????????????? ?????????????,
????,6030403,??????????????,Ou Kanthor Cheung,????????? ??? ???.?,??????????????????????? ???????????,
????,6030404,??????,Boeng Leas,????????? ??? ???.?,??????????????? ??????,
???????,60306,??????????,Kampong Krabau,??????????? ?? ?????.??,,
????,6030601,??????????,Snaeng Krabei,????????? ??? ???.?,,
????,6030602,????????,Stueng Saen,????????? ??? ???.?,,
????,6030603,??????????,Kampong Krabau,????????? ??? ???.?,,
???????,60308,?????????,Prey Ta Hu,??????????? ?? ?????.??,,
????,6030801,???????,Sla Kaet,????????? ??? ???.?,,
????,6030802,????,Kdei,????????? ??? ???.?,,
????,6030803,?????????,Prey Ta Hu,????????? ??? ???.?,,
???????,60309,???????????,Achar Leak,??????????? ?? ?????.??,,
????,6030901,???????,Krachab,????????? ??? ???.?,,
????,6030902,???????????,Achar Leak,????????? ??? ???.?,,
????,6030903,??????????,Prey Banlech,????????? ??? ???.?,Prey Banlech,
???????,60310,???????,Srayov,??????????? ?? ?????.??,,
????,6031001,????,Roluos,????????? ??? ???.?,,
????,6031002,??????????,Pramat Dei,????????? ??? ???.?,,
????,6031003,??????????,Kampong Samraong,????????? ??? ???.?,,
????,6031004,????????????,Pou Saen Snay,????????? ??? ???.?,?????????????????????? ????????????,
????,6031005,??????????,Pou Ta Un,????????? ??? ???.?,???????????????????? ??????????,
????,6031006,??????????,Trapeang Veaeng,????????? ??? ???.?,,
????,6031007,??????????,Srayov Cheung,????????? ??? ???.?,,
????,6031008,????????????,Srayov Tboung,????????? ??? ???.?,,
????,6031009,??????,Puk Yuk,????????? ??? ???.?,,
????,6031010,?????,Mneav,????????? ??? ???.?,,
????,6031011,?????,Chambak,????????? ??? ???.?,,
????,6031012,??????,Kamraeng,????????? ??? ???.?,?????????????? ??????,
????,6031013,???,Roka,????????? ??? ???.?,,
?????,604,???????????????,Prasat Ballangk,????????? ??? ???.?,,
???,60401,???,Doung,??? ??? ???.?,,
????,6040101,???,Doung,????????? ??? ???.?,,
????,6040102,???,Kokor,????????? ??? ???.?,,
????,6040103,?????,Kruor,????????? ??? ???.?,,
????,6040104,?????,Ta Mom,????????? ??? ???.?,,
????,6040105,?????,Krabau,????????? ??? ???.?,,
????,6040106,?????,Kruos,????????? ??? ???.?,,
????,6040107,???????,Dang Phdiek,????????? ??? ???.?,,
????,6040108,??????,Dang Ta Aek,????????? ??? ???.?,,
???,60402,?????,Kraya,????????? ??????.?,,
????,6040201,??????,Sangvat,????????? ??? ???.?,,
????,6040202,????????,Kraya Cheung,????????? ??? ???.?,,
????,6040203,??????????,Kraya Tboung,????????? ??? ???.?,,
????,6040204,???????,Baray,????????? ??? ???.?,,
????,6040205,?????????,Anlong Chuor,????????? ??? ???.?,,
????,6040206,???????,Bos Thum,????????? ??? ???.?,,
???,60403,???????,Phan Nheum,??? ??? ???.?,,
????,6040301,????????????,Trapeang Knong,????????? ??? ???.?,,
????,6040302,?????,Srama,????????? ??? ???.?,,
????,6040303,?????,Phdiek,????????? ??? ???.?,,
????,6040304,?????????,Prey Mari,????????? ??? ???.?,??????????????????? ?????????,
????,6040305,??????,Kranhung,????????? ??? ???.?,,
????,6040306,???????,Prohut,????????? ??? ???.?,,
????,6040307,?????,Smaonh,????????? ??? ???.?,,
????,6040308,?????,Sochol,????????? ??? ???.?,?????????????? ?????,
???,60404,???????,Sakream,??? ??? ???.?,,
