Type,Code,Name (Khmer),Name (Latin),Reference,Official Note,Note (by Checker)
ស្រុក,201,បាណន់,Banan,លេខ​៤៩៣​ប្រ.ក,,
ឃុំ,20101,កន្ទឺ ១,Kantueu Muoy,លេខ​៤៩៣​ប្រ.ក,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ,
ភូមិ,2010101,ថ្មី,Thmei,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010102,ទួលធ្នង់,Tuol Thnong,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010103,ស្វាយព្រៃ,Svay Prey,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010104,ស្វាយបីដើម,Svay Bei Daeum,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010105,កំពង់អំពិល,Kampong Ampil,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010106,សសរពក,Sasar Pok,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010107,វត្ដកន្ទឺ,Voat Kantueu,លេខ ៤៩៣ ប្រ.ក,,
ឃុំ,20102,កន្ទឺ ២,Kantueu Pir,លេខ​៤៩៣​ប្រ.ក,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ,
ភូមិ,2010201,ប៉ុស្ដិកន្ទឺ,Post Kantueu,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010202,ចំការអូរ,Chamkar Ou,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010203,បាណន់,Banan,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010204,កំប៉ង់លិច,Kampang Lech,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010205,កំប៉់ង់កើត,Kampang Kaeut,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010206,ឆាយរំពាត់,Chhay Rumpoat,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010207,ភ្នំគល់,Phnum Kol,លេខ ៤៩៣ ប្រ.ក,,
ឃុំ,20103,បាយដំរាំ,Bay Damram,លេខ​៤៩៣​ប្រ.ក,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ,
ភូមិ,2010301,ទួលច្រនៀង,Tuol Chranieng,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010302,កំពង់ចែង,Kampong Chaeng,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010303,កញ្ច្រោង,Kanhchroung,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010304,ក្រទ្បាពាស,Krala Peas,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010305,បាយដំរាំ,Bay Damram,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010306,តាស៊ង,Ta Song,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010307,ស្ដៅ,Sdau,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010308,ព្រៃទទឹង,Prey Totueng,លេខ ៤៩៣ ប្រ.ក,,
ឃុំ,20104,ឈើទាល,Chheu Teal,លេខ​៤៩៣​ប្រ.ក,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ,
ភូមិ,2010401,កំពង់ឆ្លង,Kampong Chhlang,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010402,ឈើទាល,Chheu Teal,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010403,កំពង់ស្រមរ,Kampong Srama,លេខ​៤៩៣​ប្រ.ក,,
ភូមិ,2010404,ខ្នារ,Khnar,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010405,ឥន្ទជិត,Enteak Chit,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010406,បត់សាលា,Bat Sala,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010407,បាយដំរាំ,Bay Damram,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010408,ស្វាយប្រគាប,Svay Prakeab,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010409,ឆកពោធិ៍៍,Chhak Pou,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010410,អន្លង់តាម៉ី,Anlong Ta Mei,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010411,ចំការស្វាយ,Chamkar Svay,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010412,ថ្កូវ,Thkov,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010413,បបុះ,Baboh,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010414,ដូង,Doung,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010415,អន្លក់កោង,Anlok Kaong,លេខ ៤៩៣ ប្រ.ក,,
ឃុំ,20105,ចែងមានជ័យ,Chaeng Mean Chey,លេខ​៤៩៣​ប្រ.ក,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ,
ភូមិ,2010501,រូង,Rung,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010502,ចែង,Chaeng,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010503,កំពង់គល់,Kampong Kol,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010504,ធ្ង័រ,Thngoar,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010505,បុះខ្នុរ,Boh Khnor,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010506,ចង្ហូរស្វាយ,Changhour Svay,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010507,ដូង,Doung,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010508,ប៉ៃឡាំ, ,តាមអនុក្រឹត្យលេខ​ ៣៥០០ អនក្រ.បក ចុះថ្ងៃទី ០៥ ខែ កក្កដា ឆ្នាំ ២០២៣,,
ឃុំ,20106,ភ្នំសំពៅ,Phnum Sampov,លេខ​៤៩៣​ប្រ.ក,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ,
ភូមិ,2010601,ចែងក្ដារ,Chaeng Kdar,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010602,កំប៉ូវ,Kampouv,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010603,គោកអំពិល,Kouk Ampil,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010604,ភ្នំសំពៅលិច,Phnum Sampov Lech,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010605,ភ្នំសំពៅកើត,Phnum Sampov Kaeut,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010606,សំណាញ់,Samnanh,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010607,ក្ដោង,Kdaong,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010608,ក្រពើជើង,Krapeu Cheung,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010609,ក្រពើត្បូង,Krapeu Tboung,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010610,ក្រពើកើត,Krapeu Kaeut,លេខ ៤៩៣ ប្រ.ក,,
ឃុំ,20107,ស្នឹង,Snoeng,លេខ​៤៩៣​ប្រ.ក,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ,
ភូមិ,2010701,សំរោង,Samraong,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010702,គរ,Kor,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010703,ស្នឹងលិច,Snoeng Lech,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010704,ស្នឹងកើត,Snoeng Kaeut,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010705,បឹងចែង,Boeng Chaeng,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010706,បឹងប្រី,Boeng Prei,លេខ​៤៩៣​ប្រ.ក,,
ភូមិ,2010707,ពាក់ស្បែក,Peak Sbaek,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010708,ព្រះស្រែ,Preah Srae,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010709,រំជៃ,Rumchey,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010710,សំបួរមាស,Sambuor Meas,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010711,បឹងក្រសាល,Boeng Krasal,លេខ ៤៩៣ ប្រ.ក,,
ឃុំ,20108,តាគ្រាម,Ta Kream,លេខ​៤៩៣​ប្រ.ក,តាមប្រកាសរបស់ក្រសួងមហាផ្ទៃ,
ភូមិ,2010801,ប៉ោយស្វាយ,Paoy Svay,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010802,តាគ្រាម,Ta Kream,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010803,ថ្មី,Thmei,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010804,អូរពងមាន់,Ou Pong Moan,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010805,តាង៉ែន,Ta Ngaen,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010806,ព្រៃផ្ដៅ,Prey Phdau,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010807,អូរតាញា,Ou Ta Nhea,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010808,ដង្គត់ធ្នង់,Dangkot Thnong,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,2010809,អណ្ដូងនាង,Andoung Neang,លេខ ៤៩៣ ប្រ.ក,,
