Type,Code,Name (Khmer),Name (Latin),Reference,Official Note,Note (by Checker)
ស្រុក,401,បរិបូណ៌,Baribour,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40101,អញ្ចាញរូង,Anhchanh Rung,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010101,អញ្ចាញរូង,Anhchanh Rung,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010102,អណ្ដូងរវៀង,Andoung Rovieng,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010103,ដំរីកូន,Damrei Koun,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010104,ព្រៃព្រាល,Prey Preal,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010105,ស្ទឹងថ្មី,Stueng Thmei,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010106,ថ្លុកជ្រៅ,Thlok Chrov,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40102,ឆ្នុកទ្រូ,Chhnok Tru,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010201,ឆ្នុកទ្រូ,Chhnok Tru,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010202,កំពង់ព្រះ,Kampong Preah,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010203,សេះស្លាប់,Seh Slab,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40103,ចក,Chak,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010301,តាប៉ាង,Ta Pang,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010302,ពោម្រះ,Pou Mreah,ប្រកាសលេខ៤៩៣ ប្រ.ក,ប្ដូរពីពោធិ៍ម្រះ ទៅជាពោម្រះ,
ភូមិ,4010303,អូររំចេក,Ou Rumchek,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010304,ចក,Chak,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010305,ដង្ខៅម៉ៅ,Dangkhau Mau,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40104,ខុនរ៉ង,Khon Rang,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010401,ស្នោ,Snao,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010402,ដើមជ្រែ,Daeum Chreae,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010403,សិរី,Serei,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010404,ល្បើក,Lbaeuk,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010405,កន្សែង,Kansaeng,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010406,ដក់ពរ,Dak Por,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010407,គក,Kok,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010408,ពពេល,Popel,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010409,ត្រពាំងពោធិ៍,Trapeang Pou,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010410,កំពង់អួរ,Kampong Uor,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40105,កំពង់ព្រះគគីរ,Kampong Preah Kokir,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010501,ព្រែកស្ពាន,Preaek Spean,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010502,កោះតាម៉ូវ,Kaoh Ta Mouv,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010503,ស្ទឺងជ្រៅ,Stueng Chrov,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010504,ដំណាក់រាជ្យ,Damnak Reach,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40106,មេលំ,Melum,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010601,ស្រះកែវ,Srah Kaev,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010602,ទួលធ្លក,Tuol Thlok,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010603,មេលំ,Melum,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010604,កាន់យួរ,Kan Yuor,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010605,ទួលរការ,Tuol Rokar,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40107,ផ្សារ,Phsar,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010701,ក្បាលថ្នល់,Kbal Thnal,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010702,កំព្រង,Kamprong,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010703,ផ្សារ,Phsar,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010704,ថ្មី,Thmei,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010705,ជំទាវបុត្រី,Chumteav Botrei,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010706,ព្រៃតាមូង,Prey Ta Mung,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010707,ភ្នៀត,Phniet,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40108,ពេជចង្វារ,Pech Changvar,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010801,តាំងធ្នឹម,Tang Thnuem,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010802,តាំងត្រពាំង,Tang Trapeang,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010803,ល្វា,Lvea,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010804,ក្រាំងកកោះ,Krang Kakaoh,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010805,ទឹកជ្រាប់,Tuek Chroab,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010806,ថ្នល់,Thnal,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40109,ពពេល,Popel,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010901,ជាងហ្លួង,Cheang Luong,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010902,អូរ,Ou,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010903,ទួលពោធិ៍,Tuol Pou,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010904,ក្រោលជី,Kraol Chi,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010905,បុសមាស,Bos Meas,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010906,សាលាឃុំ,Sala Khum,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010907,ក្រាំងខ្មែរ,Krang Khmer,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4010908,អង្គ,Angk,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40110,ពន្លៃ,Ponley,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4011001,ពន្លៃ,Ponley,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4011002,ជើងខ្នារ,Cheung Khnar,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4011003,កែវឡាត,Kaev Lat,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4011004,ស្វាយគយ,Svay Koy,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4011005,អូរ,Ou,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4011006,ជាងហ្លួង,Cheang Luong,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40111,ត្រពាំងចាន់,Trapeang Chan,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4011101,ត្រពាំងចាន់,Trapeang Chan,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4011102,កណ្ដាល,Kandal,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4011103,សន្លង់,Sanlang,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4011104,ក្បាលដំរី,Kbal Damrei,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ស្រុក,402,ជលគីរី,Chol Kiri,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40201,ជលសា,Chol Sar,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020101,កំពង់ខ្លាញ់,Kampong Khlanh,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020102,ទន្លេក្រៅ,Tonle Krau,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020103,ឫស្សីដង្គួច,Ruessei Dangkuoch,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020104,ព្រែកទ្រព្យ,Preaek Trop,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020105,កំពង់បាស្រូវ,Kampong Ba Srov,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020106,កំពង់បាស្រូវត្បូង,Kampong Ba Srov Tboung,លេខប្រកាស ៥៥០៨ ប្រ.ក,បំបែកចេញពីភូមិ កំពង់បាស្រូវ,
ឃុំ,40202,កោះថ្កូវ,Kaoh Thkov,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020201,បត់ត្រង់,Bat Trang,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020202,កោះលត,Kaoh Lot,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020203,កោះស្លែង,Kaoh Slaeng,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020204,ពាមពពេច,Peam Popech,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020205,តាមលលើ,Ta Mol Leu,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020206,កោះថ្កូវ,Kaoh Thkov,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020207,តាមលក្រោម,Ta Mol Kraom,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020208,គជ្រុំ,Ko Chrum,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020209,ដងទង់,Dang Tong,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020210,ពាមជ្រៃ,Peam Chrey,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40203,កំពង់អុស,Kampong Ous,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020301,កំពង់អុស,Kampong Os,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020302,កៀនតាម៉ា,Kien Ta Ma,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020303,ថ្មី,Thmei,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020304,ព្រែកឆ្ដោ,Preaek Chhdaor,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ឃុំ,40204,ពាមឆ្កោក,Peam Chhkaok,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
ភូមិ,4020401,ពាមឆ្កោក,Peam Chhkaok,ប្រកាសលេខ៤៩៣ ប្រ.ក,,
