Type,Code,Name (Khmer),Name (Latin),Reference,Official Note,Note (by Checker)
ស្រុក,501,បរសេដ្ឋ,Basedth,លេខ​៤៩៣​ប្រ.ក,តាមប្រកាសក្រសួងមហាផ្ទៃ,
ឃុំ,50101,បរសេដ្ឋ,Basedth,លេខ​៤៩៣​ប្រ.ក,តាមប្រកាសក្រសួងមហាផ្ទៃ,
ភូមិ,5010101,ព្រៃឈើទាល,Prey Chheu Teal,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010102,ព្រៃគោកត្រប់,Prey Kouk Trab,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010103,ព្រៃឃ្លៃ,Prey Khley,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010104,ត្រពាំងឈូក,Trapeang Chhuk,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010105,បឹងស្ដុក,Boeng Sdok,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010106,បឹងសង្កែ,Boeng Sangkae,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010107,ស្រែត្រោក,Srae Traok,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010108,តា្មតលេង,Tmat Leng,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010109,សំព័រ,Sampoar,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010110,ចំការទួល,Chamkar Tuol,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010111,ព្រៃរំដួលខាងកើត,Prey Rumduol  khang Kaeut,លេខ​៤៩៣​ប្រ.ក,,
ភូមិ,5010112,ព្រៃរំដួលខាងត្បូង,Prey Rumduol khang Tboung,លេខ​៤៩៣​ប្រ.ក,,
ភូមិ,5010113,បឹងធ្នង់,Boeng Thnong,លេខ ៤៩៣ ប្រ.ក,,
ភូមិ,5010114,ព្រៃរំដួលខាងលិច,Prey Rumduol khang Lech,លេខ​៤៩៣​ប្រ.ក,,
